Address,LATB,LNGB,id,
肇庆市,23.052889,112.471489,loc1,
滁州市,32.261271,118.339406,loc2,
绵阳市,31.473663,104.685562,loc3,
宁波市,29.866033,121.628572,loc4,
清远市,23.68823,113.062468,loc5,
湛江市,21.276723,110.365554,loc6,
毕节市,27.408562,105.333323,loc7,
宜春市,27.820856,114.423564,loc8,
吉安市,27.119727,115.000511,loc9,
永州市,26.425864,111.619455,loc10,
广州市,23.135336,113.271431,loc11,
安庆市,30.530957,117.063604,loc12,
南京市,32.064653,118.802422,loc13,
抚州市,27.954892,116.364539,loc14,
淮北市,33.961656,116.804537,loc15,
徐州市,34.212667,117.290575,loc16,
淮安市,33.616295,119.021484,loc17,
济宁市,35.420177,116.593612,loc18,
西安市,34.347269,108.946466,loc19,
张家界市,29.122816,110.485533,loc20,
宁德市,26.672242,119.554511,loc21,
东莞市,23.027308,113.75842,loc22,
合肥市,31.826578,117.233443,loc23,
马鞍山市,31.676266,118.51358,loc24,
滨州市,37.388196,117.977404,loc25,
温州市,28.001085,120.706477,loc26,
赣州市,25.835176,114.940503,loc27,
佛山市,23.027759,113.128512,loc28,
茂名市,21.669064,110.931543,loc29,
吉林市,43.843568,126.555635,loc30,
石家庄市,38.048312,114.521532,loc31,
焦作市,35.220963,113.248548,loc32,
三门峡市,34.778327,111.206533,loc33,
长沙市,28.234889,112.945473,loc34,
怀化市,27.575161,110.008514,loc35,
威海市,37.516431,122.127541,loc36,
临沂市,35.110671,118.363533,loc37,
咸阳市,34.335476,108.715422,loc38,
延安市,36.591111,109.496582,loc39,
丽水市,28.473278,119.929573,loc40,
梅州市,24.294178,116.129537,loc41,
杭州市,30.253083,120.215512,loc42,
河源市,23.749684,114.707446,loc43,
西宁市,36.623385,101.78445,loc44,
唐山市,39.636584,118.186459,loc45,
十堰市,32.635062,110.80453,loc46,
株洲市,27.833568,113.140471,loc47,
苏州市,31.303564,120.592412,loc48,
连云港市,34.60225,119.228621,loc49,
扬州市,32.400677,119.419419,loc50,
宿迁市,33.96775,118.281574,loc51,
昭通市,27.344084,103.723512,loc52,
嘉兴市,30.750975,120.763552,loc53,
湖州市,30.898964,120.094517,loc54,
柳州市,24.331961,109.434422,loc55,
吕梁市,37.524498,111.15045,loc56,
厦门市,24.485407,118.096435,loc57,
揭阳市,23.55574,116.378512,loc58,
汕头市,23.359092,116.688529,loc59,
海东市,36.508511,102.110444,loc60,
蚌埠市,32.921524,117.395513,loc61,
贵阳市,26.653325,106.636577,loc62,
黔南布依族苗族自治州,26.260616,107.528403,loc63,
保定市,38.879988,115.471464,loc64,
郑州市,34.753439,113.631419,loc65,
济源市,35.072907,112.608581,loc66,
益阳市,28.559711,112.361516,loc67,
常州市,31.815796,119.981485,loc68,
镇江市,32.194716,119.430489,loc69,
泰州市,32.460675,119.929566,loc70,
莱芜市,36.233654,117.684667,loc71,
临沧市,23.890469,100.09544,loc72,
梧州市,23.482745,111.285517,loc73,
钦州市,21.986594,108.66058,loc74,
上饶市,28.460626,117.94946,loc75,
新余市,27.823579,114.923535,loc76,
龙岩市,25.08122,117.023448,loc77,
莆田市,25.459865,119.014521,loc78,
漳州市,24.51893,117.653576,loc79,
深圳市,22.548457,114.064552,loc80,
珠海市,22.276565,113.582555,loc81,
惠州市,23.116359,114.423558,loc82,
云浮市,22.920912,112.051513,loc83,
潮州市,23.662623,116.62947,loc84,
海口市,20.044049,110.325525,loc85,
海南藏族自治州,36.292102,100.626621,loc86,
海北藏族自治州,36.960663,100.907434,loc87,
海西蒙古族藏族自治州,37.38275,97.376299,loc88,
长春市,43.821954,125.330602,loc89,
辽源市,42.894055,125.150425,loc90,
遵义市,27.731701,106.933428,loc91,
张家口市,40.773237,114.892572,loc92,
武汉市,30.598467,114.311582,loc93,
咸宁市,29.847056,114.328519,loc94,
