visited,visit,count
阿坝藏族羌族自治州,温州市,1
阿勒泰地区,吉林市,1
阿勒泰地区,长春市,1
安康市,达州市,1
安庆市,黄冈市,1
安庆市,景德镇市,1
安顺市,贵阳市,1
安顺市,六盘水市,2
安顺市,青岛市,1
安顺市,清远市,1
蚌埠市,滁州市,2
蚌埠市,淮北市,1
宝鸡市,陇南市,1
宝鸡市,咸阳市,1
宝鸡市,徐州市,3
宝鸡市,延安市,1
北海市,贵港市,1
北海市,玉林市,1
北京市,安庆市,1
北京市,广州市,1
北京市,黄山市,1
北京市,廊坊市,2
北京市,廊坊市,2
北京市,南京市,1
北京市,秦皇岛市,1
北京市,天水市,2
北京市,天水市,2
北京市,玉树藏族自治州,1
毕节市,怀化市,1
毕节市,六盘水市,1
毕节市,张家口市,1
毕节市,昭通市,3
毕节市,昭通市,3
毕节市,遵义市,3
滨海新区,沧州市,1
滨海新区,唐山市,1
滨州市,沧州市,1
滨州市,合肥市,1
滨州市,新余市,1
沧州市,保定市,1
常德市,怀化市,1
常德市,清远市,1
常德市,湘潭市,1
常德市,益阳市,1
常德市,张家界市,2
常德市,张家界市,2
常州市,安康市,1
常州市,滁州市,1
常州市,淮安市,1
常州市,济宁市,1
常州市,济源市,1
常州市,宁德市,1
常州市,苏州市,2
常州市,泰州市,1
常州市,威海市,1
常州市,芜湖市,1
常州市,新余市,1
常州市,镇江市,1
潮州市,揭阳市,2
潮州市,茂名市,1
潮州市,汕头市,4
潮州市,汕头市,4
潮州市,漳州市,2
郴州市,衡阳市,2
郴州市,怀化市,1
郴州市,临沧市,1
郴州市,永州市,1
成都市,贵阳市,1
成都市,桂林市,1
成都市,杭州市,1
成都市,济宁市,1
成都市,绵阳市,1
成都市,西安市,1
成都市,徐州市,1
成都市,郑州市,1
承德市,邢台市,1
承德市,张家口市,1
赤峰市,锦州市,1
崇左市,百色市,1
崇左市,江门市,1
滁州市,蚌埠市,2
滁州市,合肥市,1
滁州市,马鞍山市,2
滁州市,南京市,4
滁州市,铜陵市,1
楚雄彝族自治州,临沧市,1
达州市,舟山市,1
大理白族自治州,迪庆藏族自治州,1
大理白族自治州,临沧市,1
大庆市,鸡西市,1
丹东市,本溪市,1
丹东市,通化市,1
德阳市,绵阳市,1
德阳市,遂宁市,1
德州市,菏泽市,1
迪庆藏族自治州,昆明市,1
定西市,白银市,1
定西市,福州市,3
东莞市,保定市,1
东莞市,佛山市,1
东莞市,广州市,2
东莞市,河池市,1
东莞市,河源市,1
东莞市,焦作市,1
东莞市,漯河市,1
东莞市,徐州市,1
东莞市,漳州市,1
东莞市,长沙市,1
东莞市,昭通市,1
东莞市,淄博市,1
东营市,大庆市,1
东营市,聊城市,1
东营市,临沂市,1
鄂州市,宜春市,1
防城港市,崇左市,1
